video,frame_num,timestamp_sec,estimated_count,image_saved_as
IITB1.mp4,0,0.0,101.64,IITB1_frame000.jpg
IITB1.mp4,60,2.0,33.02,IITB1_frame001.jpg
IITB1.mp4,120,4.0,8.72,IITB1_frame002.jpg
IITB1.mp4,180,6.0,0.0,IITB1_frame003.jpg
IITB1.mp4,240,8.0,0.12,IITB1_frame004.jpg
IITB1.mp4,300,10.0,35.15,IITB1_frame005.jpg
IITB1.mp4,360,12.0,0.0,IITB1_frame006.jpg
IITB2.mp4,0,0.0,131.64,IITB2_frame000.jpg
IITB2.mp4,60,2.0,43.51,IITB2_frame001.jpg
IITB2.mp4,120,4.0,53.13,IITB2_frame002.jpg
IITB2.mp4,180,6.0,122.39,IITB2_frame003.jpg
IITB2.mp4,240,8.0,61.41,IITB2_frame004.jpg
IITB2.mp4,300,10.0,15.03,IITB2_frame005.jpg
IITB2.mp4,360,12.0,2.86,IITB2_frame006.jpg
IITB2.mp4,420,14.0,1.57,IITB2_frame007.jpg
IITB2.mp4,480,16.0,1.29,IITB2_frame008.jpg
IITB2.mp4,540,18.0,74.42,IITB2_frame009.jpg
IITB3.mp4,0,0.0,74.05,IITB3_frame000.jpg
IITB3.mp4,60,2.0,0.0,IITB3_frame001.jpg
IITB3.mp4,120,4.0,3.91,IITB3_frame002.jpg
IITB3.mp4,180,6.0,86.6,IITB3_frame003.jpg
